Season,Match Date,Home Score,Home Team,Away Score,Away Team,Competition,Attendance,Venue,Referee
1998,"Sunday, 1st March 1998",84,Sheffield Eagles,6,Egremont Rangers,Challenge Cup 5 (16),1100,"Don Valley Stadium, Sheffield, England",Peter Taberner
1998,"Saturday, 14th March 1998",22,Castleford Tigers,32,Sheffield Eagles,Challenge Cup QF,7467,,
1998,"Saturday, 28th March 1998",22,Sheffield Eagles,18,Salford Reds,Challenge Cup Semi,6961,"Neutral Venue: Headingley, Leeds, England",Cameron Worsley
1998,"Sunday, 5th April 1998",24,Sheffield Eagles,34,Hull Sharks,League,4511,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1998,"Friday, 10th April 1998",19,Castleford Tigers,6,Sheffield Eagles,League,5248,,
1998,"Friday, 17th April 1998",4,Sheffield Eagles,11,Bradford Bulls,League,4678,"Don Valley Stadium, Sheffield, England",Russell Smith
1998,"Sunday, 26th April 1998",18,Huddersfield Giants,48,Sheffield Eagles,League,3743,,
1998,"Saturday, 2nd May 1998",17,Sheffield Eagles,8,Wigan Warriors,Challenge Cup Final,60669,"Neutral Venue: Wembley Stadium, London, England",Stuart Cummings
1998,"Saturday, 9th May 1998",6,Sheffield Eagles,36,Wigan Warriors,League,7365,"Don Valley Stadium, Sheffield, England",Steve Presley
1998,"Sunday, 17th May 1998",8,Salford Reds,28,Sheffield Eagles,League,3752,,
1998,"Saturday, 23rd May 1998",23,Sheffield Eagles,24,Leeds Rhinos,League,6283,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1998,"Saturday, 30th May 1998",22,Sheffield Eagles,28,Halifax Blue Sox,League,3811,"Don Valley Stadium, Sheffield, England",Steve Ganson
1998,"Sunday, 7th June 1998",26,London Broncos,22,Sheffield Eagles,League,2581,,
1998,"Sunday, 14th June 1998",18,Warrington Wolves,18,Sheffield Eagles,League,5220,"Wilderspool Stadium, Warrington, England",Steve Presley
1998,"Saturday, 20th June 1998",18,Sheffield Eagles,17,St. Helens,League,3675,"Don Valley Stadium, Sheffield, England",Steve Presley
1998,"Sunday, 28th June 1998",20,Hull Sharks,35,Sheffield Eagles,League,5020,,
1998,"Friday, 3rd July 1998",22,Sheffield Eagles,16,Castleford Tigers,League,3151,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1998,"Friday, 17th July 1998",32,Halifax Blue Sox,10,Sheffield Eagles,League,3087,"Neutral Venue: Northampton,",Russell Smith
1998,"Sunday, 2nd August 1998",18,Bradford Bulls,38,Sheffield Eagles,League,11493,,
1998,"Friday, 7th August 1998",56,Sheffield Eagles,10,Huddersfield Giants,League,2550,"Don Valley Stadium, Sheffield, England",Steve Presley
1998,"Sunday, 16th August 1998",44,Wigan Warriors,6,Sheffield Eagles,League,10175,,
1998,"Friday, 21st August 1998",18,Sheffield Eagles,18,Salford Reds,League,2571,"Don Valley Stadium, Sheffield, England",Steve Nicholson
1998,"Friday, 28th August 1998",36,Leeds Rhinos,22,Sheffield Eagles,League,9273,,
1998,"Sunday, 6th September 1998",33,Halifax Blue Sox,16,Sheffield Eagles,League,4628,,
1998,"Friday, 11th September 1998",18,Sheffield Eagles,19,London Broncos,League,2420,"Bramall Lane, Sheffield, England",Stuart Cummings
1998,"Friday, 18th September 1998",35,Sheffield Eagles,6,Warrington Wolves,League,3083,"Don Valley Stadium, Sheffield, England",Robert Connolly
1998,"Friday, 25th September 1998",50,St. Helens,0,Sheffield Eagles,League,4609,,
1999,"Saturday, 13th February 1999",16,Salford Reds,6,Sheffield Eagles,Challenge Cup 4 (32),2359,,
1999,"Sunday, 7th March 1999",18,Bradford Bulls,6,Sheffield Eagles,League,12044,,
1999,"Saturday, 20th March 1999",20,Sheffield Eagles,26,London Broncos,League,3269,"Don Valley Stadium, Sheffield, England",Steve Presley
1999,"Friday, 2nd April 1999",32,Sheffield Eagles,28,Huddersfield Giants,League,3621,"Don Valley Stadium, Sheffield, England",Steve Ganson
1999,"Monday, 5th April 1999",21,Hull Sharks,23,Sheffield Eagles,League,3995,,
1999,"Sunday, 11th April 1999",22,Sheffield Eagles,16,Leeds Rhinos,League,5101,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1999,"Sunday, 18th April 1999",39,St. Helens,30,Sheffield Eagles,League,9010,,
1999,"Sunday, 25th April 1999",22,Sheffield Eagles,12,Wakefield Trinity Wildcats,League,4387,"Don Valley Stadium, Sheffield, England",Robert Connolly
1999,"Monday, 3rd May 1999",40,Warrington Wolves,4,Sheffield Eagles,League,5524,"Wilderspool Stadium, Warrington, England",Steve Nicholson
1999,"Saturday, 8th May 1999",27,Sheffield Eagles,8,Halifax Blue Sox,League,3901,"Don Valley Stadium, Sheffield, England",John Connolly
1999,"Sunday, 16th May 1999",10,Castleford Tigers,6,Sheffield Eagles,League,5748,,
1999,"Saturday, 22nd May 1999",26,Sheffield Eagles,26,Salford Reds,League,3100,"Don Valley Stadium, Sheffield, England",Nick Oddy
1999,"Sunday, 30th May 1999",26,Gateshead Thunder,18,Sheffield Eagles,League,1880,,
1999,"Wednesday, 2nd June 1999",28,Wigan Warriors,0,Sheffield Eagles,League,6005,,
1999,"Saturday, 5th June 1999",2,Sheffield Eagles,52,Bradford Bulls,League,4801,"Saltergate, Chesterfield, England",John Connolly
1999,"Sunday, 13th June 1999",44,London Broncos,12,Sheffield Eagles,League,1960,,
1999,"Sunday, 20th June 1999",37,Huddersfield Giants,18,Sheffield Eagles,League,2363,,
1999,"Saturday, 26th June 1999",18,Sheffield Eagles,8,Hull Sharks,League,3449,"Don Valley Stadium, Sheffield, England",Russell Smith
1999,"Tuesday, 29th June 1999",6,Sheffield Eagles,23,Gateshead Thunder,League,2319,"Don Valley Stadium, Sheffield, England",John Connolly
1999,"Friday, 2nd July 1999",40,Leeds Rhinos,16,Sheffield Eagles,League,12607,,
1999,"Saturday, 10th July 1999",16,Sheffield Eagles,21,St. Helens,League,4487,"Don Valley Stadium, Sheffield, England",Nick Oddy
1999,"Sunday, 18th July 1999",6,Wakefield Trinity Wildcats,24,Sheffield Eagles,League,3107,,
1999,"Wednesday, 21st July 1999",12,Sheffield Eagles,36,Wigan Warriors,League,3526,"Don Valley Stadium, Sheffield, England",Steve Presley
1999,"Saturday, 24th July 1999",16,Sheffield Eagles,48,Warrington Wolves,League,2614,"Don Valley Stadium, Sheffield, England",Stuart Cummings
1999,"Sunday, 1st August 1999",24,Halifax Blue Sox,43,Sheffield Eagles,League,3441,,
1999,"Saturday, 7th August 1999",0,Sheffield Eagles,22,Castleford Tigers,League,3750,"Don Valley Stadium, Sheffield, England",Karl Kirkpatrick
1999,"Sunday, 15th August 1999",26,Salford City Reds,12,Sheffield Eagles,League,3307,,
1999,"Sunday, 22nd August 1999",52,Bradford Bulls,4,Sheffield Eagles,League,11029,,
1999,"Saturday, 28th August 1999",20,Sheffield Eagles,16,London Broncos,League,2024,"Don Valley Stadium, Sheffield, England",Colin Morris
1999,"Saturday, 4th September 1999",47,Sheffield Eagles,32,Huddersfield Giants,League,3500,"Don Valley Stadium, Sheffield, England",Robert Connolly
1999,"Sunday, 12th September 1999",33,Hull Sharks,16,Sheffield Eagles,League,5447,,
2000,"Tuesday, 28th December 1999",20,Lancashire Lynx,33,Sheffield Eagles,League 2,888,,
2000,"Sunday, 9th January 2000",16,York,15,Sheffield Eagles,League 2,971,,
2000,"Sunday, 16th January 2000",12,Sheffield Eagles,22,Batley Bulldogs,League 2,1612,"Don Valley Stadium, Sheffield, England",Peter Taberner
2000,"Sunday, 23rd January 2000",6,Hull Kingston Rovers,4,Sheffield Eagles,League 2,2244,,
2000,"Tuesday, 25th January 2000",17,Sheffield Eagles,12,Hunslet Hawks,League 2,1278,"Don Valley Stadium, Sheffield, England",Ian Smith
2000,"Sunday, 30th January 2000",14,Sheffield Eagles,16,Thornhill Trojans,Challenge Cup 3 (64),1100,"Don Valley Stadium, Sheffield, England",Paul Lee
2000,"Sunday, 6th February 2000",45,Featherstone Rovers,13,Sheffield Eagles,League 2,1867,,
2000,"Sunday, 20th February 2000",33,Dewsbury Rams,18,Sheffield Eagles,League 2,1469,,
2000,"Sunday, 27th February 2000",3,Widnes Vikings,0,Sheffield Eagles,League 2,2871,,
2000,"Sunday, 5th March 2000",10,Sheffield Eagles,16,Doncaster Dragons,League 2,2732,"Don Valley Stadium, Sheffield, England",Peter Taberner
2000,"Sunday, 12th March 2000",36,Keighley Cougars,2,Sheffield Eagles,League 2,1596,,
2000,"Sunday, 19th March 2000",34,Barrow Border Raiders,16,Sheffield Eagles,League 2,1172,,
2000,"Sunday, 26th March 2000",18,Sheffield Eagles,20,Workington Town,League 2,1177,"Don Valley Stadium, Sheffield, England",Colin Morris
2000,"Sunday, 2nd April 2000",6,Sheffield Eagles,28,Oldham,League 2,1220,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2000,"Sunday, 9th April 2000",24,Leigh Centurions,26,Sheffield Eagles,League 2,2250,,
2000,"Sunday, 16th April 2000",38,Swinton Lions,30,Sheffield Eagles,League 2,962,"Gigg Lane, Bury, England",Ian Smith
2000,"Friday, 21st April 2000",56,Sheffield Eagles,12,Lancashire Lynx,League 2,1177,"Don Valley Stadium, Sheffield, England",Richard Silverwood
2000,"Monday, 24th April 2000",6,Hunslet Hawks,27,Sheffield Eagles,League 2,863,,
2000,"Monday, 1st May 2000",19,Sheffield Eagles,22,Whitehaven Warriors,League 2,1098,"Don Valley Stadium, Sheffield, England",Peter Taberner
2000,"Sunday, 7th May 2000",19,Sheffield Eagles,22,Rochdale Hornets,League 2,1055,"Don Valley Stadium, Sheffield, England",Graham Shaw
2000,"Sunday, 14th May 2000",12,Sheffield Eagles,12,York,League 2,1038,"Don Valley Stadium, Sheffield, England",Paul Lee
2000,"Sunday, 21st May 2000",14,Batley Bulldogs,21,Sheffield Eagles,League 2,513,,
2000,"Friday, 26th May 2000",10,Sheffield Eagles,8,Hull Kingston Rovers,League 2,1021,,
2000,"Monday, 29th May 2000",14,Sheffield Eagles,29,Featherstone Rovers,League 2,1359,,
2000,"Sunday, 4th June 2000",8,Sheffield Eagles,30,Dewsbury Rams,League 2,1478,,
2000,"Sunday, 11th June 2000",29,Doncaster Dragons,8,Sheffield Eagles,League 2,1553,,
2000,"Sunday, 18th June 2000",16,Sheffield Eagles,28,Keighley Cougars,League 2,1424,,
2000,"Sunday, 25th June 2000",30,Sheffield Eagles,2,Barrow Border Raiders,League 2,1188,,
2000,"Sunday, 2nd July 2000",18,Workington Town,19,Sheffield Eagles,League 2,659,,
2001,"Sunday, 3rd December 2000",34,Sheffield Eagles,1,Batley Bulldogs,League 2,1429,"Don Valley Stadium, Sheffield, England",Peter Taberner
2001,"Sunday, 10th December 2000",12,Featherstone Rovers,15,Sheffield Eagles,League 2,2359,,
2001,"Sunday, 17th December 2000",14,Hunslet Hawks,0,Sheffield Eagles,League 2,856,,
2001,"Tuesday, 26th December 2000",22,Doncaster Dragons,2,Sheffield Eagles,League 2,1970,,
2001,"Sunday, 7th January 2001",16,Sheffield Eagles,52,Keighley Cougars,League 2,1642,"Don Valley Stadium, Sheffield, England",Nick Oddy
2001,"Wednesday, 24th January 2001",38,Sheffield Eagles,12,Gateshead Thunder,League 2,753,"Don Valley Stadium, Sheffield, England",Colin Morris
2001,"Sunday, 28th January 2001",42,Sheffield Eagles,0,East Leeds,Challenge Cup 3 (64),778,"Don Valley Stadium, Sheffield, England",Steve Addy
2001,"Wednesday, 31st January 2001",6,Sheffield Eagles,25,Dewsbury Rams,League 2,862,"Don Valley Stadium, Sheffield, England",Paul Lee
2001,"Sunday, 4th February 2001",11,Sheffield Eagles,12,Hull Kingston Rovers,League 2,1081,"Don Valley Stadium, Sheffield, England",Peter Taberner
2001,"Sunday, 11th February 2001",14,Doncaster Dragons,12,Sheffield Eagles,Challenge Cup 4 (32),1344,,
2001,"Sunday, 18th February 2001",15,Workington Town,12,Sheffield Eagles,League 2,990,,
2001,"Sunday, 25th February 2001",6,York,48,Sheffield Eagles,League 2,455,,
2001,"Sunday, 4th March 2001",40,Sheffield Eagles,16,Barrow Border Raiders,League 2,838,,
2001,"Sunday, 11th March 2001",26,Sheffield Eagles,17,Widnes Vikings,League 2,1560,"Don Valley Stadium, Sheffield, England",Paul Lee
2001,"Sunday, 18th March 2001",24,Oldham,16,Sheffield Eagles,League 2,1503,,
2001,"Sunday, 25th March 2001",12,Whitehaven,18,Sheffield Eagles,League 2,865,,
2001,"Saturday, 31st March 2001",60,Sheffield Eagles,4,Chorley Lynx,League 2,870,"Don Valley Stadium, Sheffield, England",Paul Lee
2001,"Sunday, 8th April 2001",22,Swinton Lions,23,Sheffield Eagles,League 2,715,"Gigg Lane, Bury, England",Julian King
2001,"Friday, 13th April 2001",28,Sheffield Eagles,4,Doncaster Dragons,League 2,1632,"Don Valley Stadium, Sheffield, England",Richard Silverwood
2001,"Tuesday, 17th April 2001",46,Rochdale Hornets,8,Sheffield Eagles,League 2,1101,,
2001,"Sunday, 29th April 2001",28,Sheffield Eagles,34,Leigh Centurions,League 2,1614,"Don Valley Stadium, Sheffield, England",Richard Silverwood
2001,"Sunday, 6th May 2001",23,Batley Bulldogs,2,Sheffield Eagles,League 2,693,,
2001,"Sunday, 13th May 2001",14,Sheffield Eagles,28,Featherstone Rovers,League 2,1296,"Don Valley Stadium, Sheffield, England",Colin Morris
2001,"Sunday, 20th May 2001",40,Sheffield Eagles,10,Hunslet Hawks,League 2,1154,"Don Valley Stadium, Sheffield, England",Graham Shaw
2001,"Sunday, 27th May 2001",26,Keighley Cougars,14,Sheffield Eagles,League 2,1471,,
2001,"Sunday, 3rd June 2001",56,Sheffield Eagles,0,York,League 2,1008,"Don Valley Stadium, Sheffield, England",Mike Dawber
2001,"Sunday, 10th June 2001",28,Dewsbury Rams,16,Sheffield Eagles,League 2,700,,
2001,"Sunday, 17th June 2001",14,Hull Kingston Rovers,18,Sheffield Eagles,League 2,1625,,
2001,"Sunday, 24th June 2001",34,Sheffield Eagles,26,Workington Town,League 2,1259,"Don Valley Stadium, Sheffield, England",Steve Presley
2001,"Sunday, 1st July 2001",38,Barrow Border Raiders,14,Sheffield Eagles,League 2,945,,
2002,"Sunday, 2nd December 2001",12,Workington Town,10,Sheffield Eagles,League 2,1308,,
2002,"Sunday, 9th December 2001",34,Sheffield Eagles,2,Gateshead Thunder,League 2,1203,"Don Valley Stadium, Sheffield, England",Colin Morris
2002,"Sunday, 16th December 2001",30,Huddersfield Giants,10,Sheffield Eagles,League 2,2171,,
2002,"Sunday, 23rd December 2001",36,Sheffield Eagles,14,Doncaster Dragons,League 2,1716,"Don Valley Stadium, Sheffield, England",Ian Smith
2002,"Sunday, 6th January 2002",28,Featherstone Rovers,18,Sheffield Eagles,League 2,1645,,
2002,"Sunday, 13th January 2002",60,Sheffield Eagles,0,Keighley Cougars,League 2,1489,"Don Valley Stadium, Sheffield, England",Mike Dawber
2002,"Sunday, 20th January 2002",32,Whitehaven,10,Sheffield Eagles,League 2,1268,,
2002,"Saturday, 26th January 2002",34,Sheffield Eagles,12,Leigh East,Challenge Cup 3 (64),539,"Don Valley Stadium, Sheffield, England",Peter Taberner
2002,"Sunday, 3rd February 2002",34,Sheffield Eagles,26,Barrow Raiders,League 2,1091,"Don Valley Stadium, Sheffield, England",Steve Addy
2002,"Sunday, 10th February 2002",6,Sheffield Eagles,26,Wakefield Trinity Wildcats,Challenge Cup 4 (32),1972,"Don Valley Stadium, Sheffield, England",Peter Taberner
2002,"Sunday, 17th February 2002",12,Batley Bulldogs,34,Sheffield Eagles,League 2,738,,
2002,"Sunday, 3rd March 2002",28,Sheffield Eagles,12,Hunslet Hawks,League 2,1058,"Don Valley Stadium, Sheffield, England",Nick Oddy
2002,"Sunday, 10th March 2002",8,Swinton Lions,14,Sheffield Eagles,League 2,437,"Gigg Lane, Bury, England",Steve Presley
2002,"Friday, 15th March 2002",6,Sheffield Eagles,25,Oldham,League 2,1095,"Don Valley Stadium, Sheffield, England",Nick Oddy
2002,"Sunday, 24th March 2002",24,Hull Kingston Rovers,7,Sheffield Eagles,League 2,1710,,
2002,"Sunday, 7th April 2002",40,Hull Kingston Rovers,18,Sheffield Eagles,National League Cup Qual (16),1607,,
2002,"Friday, 12th April 2002",50,Sheffield Eagles,10,Gateshead Thunder,National League Cup Qual (16),835,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2002,"Sunday, 21st April 2002",35,Sheffield Eagles,14,Keighley Cougars,National League Cup Qual (16),862,"Don Valley Stadium, Sheffield, England",Stuart Lee
2002,"Thursday, 25th April 2002",50,Doncaster Dragons,12,Sheffield Eagles,National League Cup Qual (16),1179,,
2002,"Sunday, 5th May 2002",18,Sheffield Eagles,16,Featherstone Rovers,National League Cup Qual (16),1074,"Don Valley Stadium, Sheffield, England",Julian King
2002,"Friday, 24th May 2002",24,Sheffield Eagles,23,Chorley Lynx,League 2,629,"Don Valley Stadium, Sheffield, England",Mike Dawber
2002,"Wednesday, 29th May 2002",14,Gateshead Thunder,66,Sheffield Eagles,League 2,232,,
2002,"Sunday, 2nd June 2002",14,Sheffield Eagles,26,Rochdale Hornets,League 2,910,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2002,"Sunday, 9th June 2002",32,Leigh Centurions,0,Sheffield Eagles,League 2,1377,,
2002,"Sunday, 23rd June 2002",30,Dewsbury Rams,12,Sheffield Eagles,League 2,899,,
2002,"Friday, 28th June 2002",44,Keighley Cougars,12,Sheffield Eagles,League 2,828,,
2002,"Sunday, 7th July 2002",7,Hunslet Hawks,26,Sheffield Eagles,League 2,520,,
2002,"Sunday, 14th July 2002",46,Sheffield Eagles,26,Workington Town,League 2,1071,"Don Valley Stadium, Sheffield, England",Paul Lee
2002,"Sunday, 21st July 2002",64,Rochdale Hornets,2,Sheffield Eagles,League 2,1038,,
2002,"Friday, 26th July 2002",24,Sheffield Eagles,23,Batley Bulldogs,League 2,1110,"Don Valley Stadium, Sheffield, England",Steve Presley
2002,"Sunday, 11th August 2002",46,Doncaster Dragons,10,Sheffield Eagles,League 2,983,,
2002,"Sunday, 18th August 2002",18,Sheffield Eagles,29,Dewsbury Rams,League 2,843,"Don Valley Stadium, Sheffield, England",Mike Dawber
2002,"Sunday, 25th August 2002",24,Sheffield Eagles,21,Swinton Lions,League 2,751,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2002,"Sunday, 8th September 2002",18,Sheffield Eagles,38,Huddersfield Giants,League 2,1405,"Don Valley Stadium, Sheffield, England",Ben Thaler
2002,"Friday, 20th September 2002",30,Sheffield Eagles,20,Swinton Lions,League 2 Qualifiers EPO,425,"Don Valley Stadium, Sheffield, England",Ronnie Laughton
2002,"Saturday, 28th September 2002",28,Sheffield Eagles,26,Barrow Raiders,League 2 Qualifiers ESF,572,"Don Valley Stadium, Sheffield, England",Colin Morris
2002,"Sunday, 6th October 2002",30,Dewsbury Rams,10,Sheffield Eagles,League 2 Qualifiers PF,883,,
2003,"Sunday, 19th January 2003",30,Featherstone Rovers,12,Sheffield Eagles,National League Cup Qual (16),1595,,
2003,"Friday, 24th January 2003",8,Oulton Raiders,22,Sheffield Eagles,Challenge Cup 3 (64),,,
2003,"Sunday, 9th February 2003",25,Sheffield Eagles,24,Keighley Cougars,Challenge Cup 4 (32),1235,"Don Valley Stadium, Sheffield, England",Steve Addy
2003,"Sunday, 16th February 2003",4,Sheffield Eagles,26,Doncaster Dragons,National League Cup Qual (16),1053,"Don Valley Stadium, Sheffield, England",Julian King
2003,"Sunday, 23rd February 2003",30,Hull Kingston Rovers,24,Sheffield Eagles,National League Cup Qual (16),1553,,
2003,"Sunday, 2nd March 2003",0,Sheffield Eagles,88,Hull FC,Challenge Cup 5 (16),11729,"KC Stadium, Hull, England",Colin Morris
2003,"Wednesday, 5th March 2003",18,Sheffield Eagles,8,Batley Bulldogs,National League Cup Qual (16),732,"Don Valley Stadium, Sheffield, England",Ben Thaler
2003,"Sunday, 9th March 2003",12,Sheffield Eagles,32,York City Knights,National League Cup Qual (16),730,"Don Valley Stadium, Sheffield, England",Ashley Klein
2003,"Sunday, 16th March 2003",62,Batley Bulldogs,12,Sheffield Eagles,National League Cup Qual (16),639,,
2003,"Friday, 21st March 2003",8,Sheffield Eagles,27,Featherstone Rovers,National League Cup Qual (16),856,"Don Valley Stadium, Sheffield, England",Steve Addy
2003,"Sunday, 30th March 2003",32,York City Knights,18,Sheffield Eagles,National League Cup Qual (16),978,,
2003,"Sunday, 6th April 2003",33,Sheffield Eagles,26,Hull Kingston Rovers,National League Cup Qual (16),1150,"Don Valley Stadium, Sheffield, England",Steve Presley
2003,"Sunday, 13th April 2003",38,Doncaster Dragons,30,Sheffield Eagles,National League Cup Qual (16),909,,
2003,"Friday, 18th April 2003",2,London Skolars,48,Sheffield Eagles,League 3,643,,
2003,"Monday, 21st April 2003",30,Sheffield Eagles,24,York City Knights,League 3,897,"Don Valley Stadium, Sheffield, England",Mike Dawber
2003,"Sunday, 4th May 2003",12,Barrow Raiders,30,Sheffield Eagles,League 3,911,,
2003,"Friday, 9th May 2003",18,Sheffield Eagles,23,Swinton Lions,League 3,903,"Don Valley Stadium, Sheffield, England",Steve Addy
2003,"Sunday, 25th May 2003",27,Hunslet Hawks,26,Sheffield Eagles,League 3,553,,
2003,"Sunday, 1st June 2003",16,Sheffield Eagles,19,Chorley Lynx,League 3,747,"Don Valley Stadium, Sheffield, England",Ashley Klein
2003,"Sunday, 15th June 2003",16,Workington Town,29,Sheffield Eagles,League 3,487,,
2003,"Sunday, 22nd June 2003",33,Sheffield Eagles,6,Keighley Cougars,League 3,1126,,
2003,"Sunday, 29th June 2003",58,Sheffield Eagles,24,Gateshead Thunder,League 3,1022,"Don Valley Stadium, Sheffield, England",Steve Presley
2003,"Sunday, 13th July 2003",20,Swinton Lions,18,Sheffield Eagles,League 3,496,"Moor Lane, Salford, England",Steve Nicholson
2003,"Sunday, 20th July 2003",43,Sheffield Eagles,42,Barrow Raiders,League 3,1037,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2003,"Sunday, 27th July 2003",18,York City Knights,25,Sheffield Eagles,League 3,1301,,
2003,"Sunday, 3rd August 2003",98,Sheffield Eagles,4,London Skolars,League 3,854,"Don Valley Stadium, Sheffield, England",Craig Halloran
2003,"Sunday, 10th August 2003",32,Sheffield Eagles,14,Hunslet Hawks,League 3,1002,,
2003,"Sunday, 17th August 2003",30,Chorley Lynx,14,Sheffield Eagles,League 3,502,,
2003,"Sunday, 24th August 2003",10,Keighley Cougars,22,Sheffield Eagles,League 3,1468,,
2003,"Sunday, 31st August 2003",24,Gateshead Thunder,48,Sheffield Eagles,League 3,263,,
2003,"Saturday, 6th September 2003",56,Sheffield Eagles,11,Workington Town,League 3,1011,"Don Valley Stadium, Sheffield, England",Ben Thaler
2003,"Sunday, 21st September 2003",31,Sheffield Eagles,14,Chorley Lynx,Play-offs League 3 ESF,732,"Don Valley Stadium, Sheffield, England",Colin Morris
2003,"Sunday, 5th October 2003",13,Keighley Cougars,11,Sheffield Eagles,Play-offs League 3 Final,9186,"Neutral Venue: Halton Stadium, Widnes, England",Peter Taberner
2003,"Saturday, 11th October 2003",36,Batley Bulldogs,14,Sheffield Eagles,PR Play-off L2,1040,,
2004,"Sunday, 1st February 2004",24,Hull Kingston Rovers,2,Sheffield Eagles,National League Cup Qual (32),2391,,
2004,"Friday, 6th February 2004",12,Leigh Miners Rangers,14,Sheffield Eagles,Challenge Cup 3 (64),,,
2004,"Wednesday, 11th February 2004",6,Sheffield Eagles,38,Doncaster Dragons,National League Cup Qual (32),945,"Don Valley Stadium, Sheffield, England",Mike Dawber
2004,"Sunday, 15th February 2004",18,Sheffield Eagles,42,Dewsbury Rams,National League Cup Qual (32),867,"Don Valley Stadium, Sheffield, England",Colin Morris
2004,"Sunday, 22nd February 2004",34,Sheffield Eagles,6,London Skolars,National League Cup Qual (32),662,"Don Valley Stadium, Sheffield, England",Phil Bentham
2004,"Sunday, 29th February 2004",24,Sheffield Eagles,32,York City Knights,Challenge Cup 4 (32),764,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2004,"Sunday, 7th March 2004",34,Doncaster Dragons,4,Sheffield Eagles,National League Cup Qual (32),734,,
2004,"Sunday, 14th March 2004",16,London Skolars,14,Sheffield Eagles,National League Cup Qual (32),142,,
2004,"Friday, 19th March 2004",18,Sheffield Eagles,22,Hull Kingston Rovers,National League Cup Qual (32),1049,"Don Valley Stadium, Sheffield, England",Steve Ganson
2004,"Sunday, 28th March 2004",22,Dewsbury Rams,28,Sheffield Eagles,National League Cup Qual (32),499,,
2004,"Friday, 9th April 2004",18,London Skolars,24,Sheffield Eagles,League 3,401,,
2004,"Sunday, 18th April 2004",18,Chorley Lynx,32,Sheffield Eagles,League 3,257,,
2004,"Sunday, 2nd May 2004",34,York City Knights,16,Sheffield Eagles,League 3,1389,,
2004,"Sunday, 9th May 2004",6,Gateshead Thunder,42,Sheffield Eagles,League 3,297,,
2004,"Friday, 21st May 2004",24,Sheffield Eagles,12,Dewsbury Rams,League 3,1352,"Don Valley Stadium, Sheffield, England",Mike Dawber
2004,"Sunday, 30th May 2004",32,Workington Town,36,Sheffield Eagles,League 3,652,,
2004,"Sunday, 6th June 2004",21,Sheffield Eagles,8,Workington Town,League 3,979,"Don Valley Stadium, Sheffield, England",Julian King
2004,"Sunday, 13th June 2004",14,Hunslet Hawks,40,Sheffield Eagles,League 3,620,,
2004,"Sunday, 20th June 2004",16,Sheffield Eagles,24,Barrow Raiders,League 3,977,"Don Valley Stadium, Sheffield, England",Peter Taberner
2004,"Sunday, 4th July 2004",16,Sheffield Eagles,32,Swinton Lions,League 3,957,"Don Valley Stadium, Sheffield, England",Julian King
2004,"Sunday, 11th July 2004",24,Sheffield Eagles,31,Chorley Lynx,League 3,852,"Don Valley Stadium, Sheffield, England",Phil Bentham
2004,"Friday, 23rd July 2004",27,Sheffield Eagles,14,York City Knights,League 3,1018,"Don Valley Stadium, Sheffield, England",Julian King
2004,"Sunday, 1st August 2004",54,Sheffield Eagles,10,Gateshead Thunder,League 3,744,"Don Valley Stadium, Sheffield, England",Paul Carr
2004,"Sunday, 8th August 2004",10,Dewsbury Rams,51,Sheffield Eagles,League 3,502,,
2004,"Sunday, 22nd August 2004",50,Sheffield Eagles,10,Hunslet Hawks,League 3,870,"Don Valley Stadium, Sheffield, England",Ben Thaler
2004,"Sunday, 29th August 2004",29,Barrow Raiders,10,Sheffield Eagles,League 3,1222,,
2004,"Sunday, 5th September 2004",32,Swinton Lions,24,Sheffield Eagles,League 3,595,"Park Lane, Whitefield, England",Peter Taberner
2004,"Sunday, 12th September 2004",62,Sheffield Eagles,6,London Skolars,League 3,825,"Don Valley Stadium, Sheffield, England",Gareth Hewer
2004,"Sunday, 19th September 2004",16,Sheffield Eagles,39,Hunslet Hawks,League 2 Qualifiers EPO,531,"Don Valley Stadium, Sheffield, England",Julian King
2005,"Friday, 11th February 2005",23,Sheffield Eagles,16,Dewsbury Rams,National League Cup Qual (32),959,"Don Valley Stadium, Sheffield, England",Julian King
2005,"Friday, 18th February 2005",58,Doncaster Dragons,20,Sheffield Eagles,National League Cup Qual (32),727,,
2005,"Sunday, 27th February 2005",28,Batley Bulldogs,16,Sheffield Eagles,National League Cup Qual (32),492,,
2005,"Friday, 4th March 2005",6,Sheffield Eagles,34,Batley Bulldogs,National League Cup Qual (32),875,"Don Valley Stadium, Sheffield, England",Peter Taberner
2005,"Sunday, 13th March 2005",16,Waterhead,22,Sheffield Eagles,Challenge Cup 3 (64),,,
2005,"Sunday, 20th March 2005",40,Dewsbury Rams,8,Sheffield Eagles,National League Cup Qual (32),862,,
