Timestamp,Are you:,When did you first attend a Sheffield Eagles game?,Would you class yourself as:,When did you last attend a game (home or away)?,What made you first start watching the Sheffield Eagles?,What is your favourite memory of the Sheffield Eagles? ,"Do you have any Sheffield Eagles memorabilia - old photographs, match day programmes, stickers, shirts, press cuttings etc - that you'd be willing to share with the project? If so please provide brief details. ","Can you quickly describe what the Sheffield Eagles means to you, this could be because you are a supporter, a player, a sponsor or an organisation that works with the Club. ",What are some of the stories that are part of the history of the Sheffield Eagles that you think deserve sharing to a wider audience? ,Which of the following would you be interested in taking part in? Please tick as many that apply. You aren't committing yourself to anything we just want to see what people might be interested in.,"What do you see as the possible benefits of a project like this, for you personally, the organisation you work for, rugby league in general or the club specifically? ",Do you think there is a need for a project like this? If so could you say what that need is.,Please let us have any other comments about the project. ,Are You? ,How old are you? ,How would you describe yourself,Could you provide your postcode? This will help us understand where people are responding from. ,,,
9/10/2021 10:30:51,Someone who works for an organisation that currently works or could work in partnership with the club and the Foundation,1984 - 1990,Someone who doesn't attend games but follows the results,1998,I worked in Sheffield and was already a Rugby League supporter,The Challenge Cup semi-final in 1998,"None, unfortunately",A vital part of the Rugby League family in an important city for the game,"The formation, the first season, the move to Don Valley Stadium, the Challenge Cup success, the move away from it and the Mark Aston years.",Attending events and talks about the history of the club,The project should strengthen the club and therefore Rugby League generally.,There is an important need to mark the history of a vital Rugby League expansion club - one of the few that has been successful. It is vital that that history is fully documented and is made available for future generations who may be interested in Rugby League and the history of the City of Sheffield.,"As the editor of the weekly publication League Express, I would be very happy to give whatever help I can both to the club and to this project. Can i wish everyone involved with it the very best of luck with the funding application. In terms of other information to include within the project, I would suggest that the history of Rugby League in higher education in Sheffield, at both universities, would be very interesting if it were to be referenced in the project.",Male,60-69,White,YO51,,,
9/10/2021 19:29:06,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who doesn't attend games but follows the results,At least 10 years ago.,Convinced by Gary Hetherington.,Beating Wigan at Wembley.,I definitely have shirts and programmes plus a few press cuttings if I can find them. Happy to share them with the project.,"I’d never watched any rugby league until Gary Hetherington convinced me to watch a match and quickly began to enjoy it. I ended up joining the Support Club Committee, took on the role of Treasurer of SADARLDA as well as becoming a sponsor. ","In the Nomad period, I remember trying to book meals for 100 people at the Earl of Doncaster public house and think I managed it around 11.30 pm at night!.
I also remember, when on stewarding duties at Bramall Lane, refusing entry to the Chairman of Widnes, then current World Club Champions as he didn’t have a ticket, and I didn’t recognise him. Gary came to his rescue, we let him in and I believe we won 26-6.",Not really wanting to get involved.,No particular thoughts about this.,No particular thoughts about this.,Nothing further.,Male,70 or older,White,S17  ,,,
9/13/2021 9:10:35,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,Sheffield v Swinton,My brother in law started going and mentioned it to me. I went with him and became hooked. I used to watch rugby on Grandstand when I was a child.,"So many. Wembley finals. Draw at Leeds, Cup v Swinton. So many.",Signed photo from the team 1990,Supporter,Too many,,Recording history,For people to look back on in the future.,Not at the moment,Male,70 or older,White,DN8  ,,,
9/13/2021 9:20:30,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,Swinton (H) 12/09/21,Friend introduced ,2012 Grand Final Win,"Yes. Some programmes, shirts and other merch",Seeing us grow from 13 men cobbled together to grand final winners. Its a journey. ,Stories about how we have push back against those who said we couldn't succeed. ,"Being part of the project steering group, Taking part in researching the history of the club, Carrying out interviews with players, staff or supporters to gather their stories, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, Taking part in researching the history of the area, Researching players - the games they played for their club, their backgrounds, their stories, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Helping educate people who are still not aware of us,Yes absolutely ,,Male,25-39,White,S6,,,
9/13/2021 10:23:52,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who has a season ticket and attends all home games,12.09.21,My mum has been watching them before the reform and since I could understand the rules at the age of 11 I have been watching them every year every since and been a season ticket holder for every year.,"Watching the Eagles become back to back champions was probably my favourite memory. I think from the stories I have heard from others the 1895 cup might have topped this but it was the day I came back from my holiday so could only watch it in Manchester station screaming to everyone there in elation as we won. The two years were we won the grand final were by far the best in my memory though because as a 15/16 year old, watching those games was so elating. I kept telling Mum that we would win the teams in those final games when it really mattered and we did just that. Watching the teams back then achieve that when things weren't going the best way for us in terms of our home ground gave me hope for the future and opened my eyes to a rugby league family that to this day still exists. It's when I first realised why my mum, grandad and auntie had watched them for that many years prior because being part of a crowd cheering on a team that showed passion and resilience was so elating and made me feel like I had found my forever sport and team (hopefully).",N/A,"The Sheffield Eagles are more to me now than just watching a sport and club that I love. I have made so many friends along my 13 year journey, people who I have watched grow up with me and people who I have become friends with outside of rugby league. I absolutely love watching the Eagles and plan to do so for a very long time, going to games even through the years where we haven't always played in Sheffield, you see people and you talk to friends who share your passion, you hear and see them change and you watch them bring their own kids to the matches. Sheffield Eagles is way more than just a club they are a family and a group of people who share the excitement and banter that comes with cheering on your favourite teams. I can't wait for what our future holds as a club it's going to be amazing to watch the Eagles again in our home town and watch as our support grows and so does the family. I have invited friends to become season ticket holders too because I want them to experience the joy and elation that you get from watching your team play through the ups and downs. Often they can't believe how different it is to watching the football (with the two teams dominating our city) being able to sit down with the players in a pub or the head coach, they can see that again you become a part of this family feeling where you want them to play well and achieve greatness because it becomes a lot more than just a sport.",,,"I think as per my other comments rugby league is about getting as many people involved as possible, especially the younger generation so that the rugby league can become more popular for years to come. I think this project will give people who probably don't even know their are two versions of rugby being played that it's an amazing sport to watch with a friendly and fun atmosphere. People need to be more aware about rugby league and what it does for our communities, things like this project will bring to light how brilliant it is to watch a club that brings people from all walks of life together, but also how they help our cities off the field. Hearing the history and heritage of the sport will be something that even I will be interested to read because I know for a fact there will be many other stories that are similar to my own and very different ones too."," I think rugby league is for everyone but the problem is not a lot of people know about it, in this wonderful sporting city we call a home, every sport needs to have their voice heard and it's time for rugby league to be a part of that. Teaching kids what it feels like to be part of a team and educating people on other aspects of rugby like how we stand for equality and don't stand for any sort of homophobic, racial or sexist abuse. It's a different culture to other sports but it still has the passion and the banter, just in a way all ages can enjoy and be involved in. I want everyone to know what rugby league is and I want everyone to be able to say 'did you watch that rugby league game at the weekend, it was so good!' but at the moment I don't feel people know and that's a shame because I love the sport and I wish more people did.",,,16-25,White,S20,,,
9/13/2021 15:36:09,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,12/9/21,"A friend was a season ticket holder, I went to a pre season game at Wakefield with her in 1999 & have been going to games home & away ever since.",The 1895 Cup win at Wembley. The Championship Grand Final wins in 2012 & 2013. ,,The most important thing for me is the friends that I’ve made over the last 22 years of supporting the Eagles. I love travelling to away games and having a team & club that I’m proud to support.,"The obvious one is winning the Challenge Cup as such underdogs. Also the struggles over the last few years with not having a home ground, some clubs would not have survived what we have been through since Don Valley was knocked down.",Attending events and talks about the history of the club,,,,Female,40-49,White,HD3,,,
9/13/2021 16:16:01,Former player ,1984 - 1990,A current or former player,1989/90,,Being the first Eagles player to score a try against my home town team Castleford in the Yorkshire cup in 1985,Lots of programmes and press cuttings,Developed my game from being an amateur and l inherited a rugby family ,Getting super league status and winning the challenge cup ,"Cataloguing, digitising and recording memorabilia",To let the younger generation understand how the club was formed and developed ,To promote the image of the club to gain more support ,,Male,60-69,White,WF10,,,
9/14/2021 11:44:03,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,"Sunday, September 12th",My childhood was near Bramley RLFC in Leeds so always interested in League,Winning the Cup at Wembley,I did pass some old programmes to Liam so haven't anything else.,A friendly local rugby league club that provides enjoyment and disappointment as part of the sporting environment.,The struggle to survive against the dominant football ethos in Sheffield,Taking part in researching the history of the area,"To provide better information and publicity about the club, especially when it hopes to resume playing at a fixed ground in Sheffield",Only if it is used effectively to publicize the club.,,Male,70 or older,White,S17  ,,,
9/14/2021 17:02:21,A player or member of club staff,1984 - 1990,A current or former player,19th Sept 2022,Playing ,Wembley 1998,Loads ,Means everything ,,"Talking with people who aren't supporters about the project, getting them involved",Spreading the word that Sheffield Eagles are still alive & kicking ,History of RL in Sheffield & Eagles ,Sheffield the City of Sport need Sheffield Eagles ,Male,50-59,White,S36  ,,,
9/14/2021 20:04:50,A player or member of club staff,1984 - 1990,A current or former player,last weekend,a former player,"the first game, or both Wembley finals",somewhere maybe,"as a player, coach & board member, it is a 37 yr love affair for me","overcoming all the struggles, & all of the glory days","Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications","Acknowledging the effort & the history, plus my heritage number #001","bringing the history of the club, & remembering all the people that have contributed to it ",a very worthwhile effort,Male,50-59,White,S35  ,,,
9/14/2021 22:15:45,A current Sheffield Eagles fan who attends games,2011- 2021,Someone who has a season ticket and attends all home games,12 September 2021,Was introduced by a friend,Trip down to Wembley for the 1895 cup final in 2019,,,,,A timeline history of the club that visitors can see from the beginnings to where it is today and the challenges the club has faced over the years,History is important for future generations,,Male,40-49,Asian / Asian British,S5,,,
9/15/2021 13:01:08,None of the above but are interested in the project,1984 - 1990,A current or former player,2017,Player,"Commardorre, relationship of player staff and supporters. ","Yes, videos and programmes","Ex player and coach, fond memories. ",Too many to mention ,,,Yes,,Male,60-69,White,WF8 ,,,
9/15/2021 13:04:06,A player or member of club staff,1984 - 1990,A current or former player,1986,Played in first ever eagles game,Great mates and great fans,Sorry wish I had,A brand new adventure,The first couple of year struggles and how they came through,"Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications",To see old pals,Yes a young clubs history and struggles,,Male,60-69,White,HX2,,,
9/15/2021 13:58:11,A Sheffield Eagles fan who no longer attends games,2011- 2021,Someone who doesn't attend games but follows the results,2017,Player,Winning summer bash,No,Great experience ,None that are appropriate!,,Grow the game,N/a,No,Male,25-39,White,,,,
9/15/2021 14:12:32,Ex player ,1984 - 1990,A current or former player,2019,Ex player,Promotion 89,No memorabilia ,A long lasting memory and I’ve sponsored them in the past ,Long lasting friendships with ex players ,None ,,Yes ,,Male,50-59,White,WF8 ,,,
9/15/2021 14:16:14,A player or member of club staff,2011- 2021,A current or former player,2019,2013,Winning 1895 cup at Wembley ,Couple of shirts and signed boots I wore at Wembley ,Really enjoyed my time at the club and played in a very successful team which holds great memories for me ,How good and consistent the team was from 2013-2015 seasons,Attending events and talks about the history of the club,,Anything that can raise the profile of the club is a positive thing ,,Male,25-39,White,S75  ,,,
9/15/2021 14:20:15,Former player ,2011- 2021,A current or former player,Against dewsbury at Doncaster ,Came all the way from PNG playing with them since 2009,Winning back to back finals,Go on Google ,Means a lot I've spent 11 years playing for the club I love most ,Looking back last 10 years what they archive ,"Taking part in researching the history of the club, Attending events and talks about the history of the club, Taking part in researching the history of the area",Let everyone know the history of club and hard working people behind the scenes who success fully bringing the club to now there were,Get more information and memories for past years and let everyone know about sheffield eagles history ,It's good to have project like that can helped publish eagles ,Male,40-49,Other,S6 ,,,
9/15/2021 14:53:49,Used to be a member of staff ,2011- 2021,Used to work for the Club,2016 home ,By working at the club as the Accounts Manager,Beating Wakefield Trinity at Bramall Lane!,Have 2015 eagles signed shirt ,From previously working at the club I could see they were very passionate and more than anything want a ground they can call their own for all their loyal supporters ,,"Being part of the project steering group, Taking part in researching the history of the club, Cataloguing, digitising and recording memorabilia, Attending events and talks about the history of the club, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Being able to offer state of the art premises and facilities. Have a dedicated place for fans. Having security for the club in general ,,,Female,40-49,White,S70 ,,,
9/15/2021 15:14:56,Ex player ,1991 - 2000,A current or former player,29th August 2021,To watch my dad ,Making my debut/ been involved in 2013 grand final,Past playing shirts,Eagles have and always will be a part of my family.,,,,,,Male,25-39,White,W5,,,
9/15/2021 15:19:30,Ex player,2011- 2021,A current or former player,Sunday ,Played against them ,Beating Wakefield at brammal lane,Playing shirt,N/a,N/a,None,Heritage is important ,Yes,N/a,Male,25-39,White,WF10 ,,,
9/15/2021 15:53:52,A player or member of club staff,1984 - 1990,A current or former player,2016,After playing ,Playing ,Tubb's program ,Family ,,Attending events and talks about the history of the club,Involvement ,If supporters want it ,,Male,60-69,White,DN8  ,,,
9/15/2021 20:18:56,Ex player,2011- 2021,A current or former player,2015,When I first started playing in championship ,Winning the 2012 gf,Shirts & programs ,"Sheffield eagles will always have a special place in my heart, I have some of the best memories from my playing Carreer at Sheffield ",Winning back to back championship finals ,,Help the club financially and gain more support,Yes to help the eagles grow as a club ,,Male,25-39,White,WF8,,,
9/15/2021 22:41:54,Former player,2011- 2021,A current or former player,2014,,Back to back grand final winners,,,"Challenge cup win, championship back to back grand finals, youth development programme and pathway",,Exposure and awareness,Exposure,,Male,40-49,White,WA3,,,
9/16/2021 9:46:32,A player or member of club staff,1984 - 1990,A current or former player,1994,I was a contracted player with the Sheffield Eagles ,Playing in the winning team at Old Trafford for the 2nd Division Premiership in 1989.,"Yes, I do have photos, press cuttings & a few other items ","The Sheffield Eagles helped me realise a childhood dream and a goal in life to play as a professional rugby league player. The club holds a special place in my heart as it was a special time in my life being involved with the club and the friends my wife and I made for life, with many still current to this day.","I think the way that club was formed and the groups/ squads of players in those early years were passionate about the club and any success they could bring to the loyal supporters, sponsors and partners of the Sheffield Eagles",Not sure how I can be involved due to living in Australia,From a personal perspective would be to learn some more about times after I was involved with the Eagles and to protect and record the history and existence of the club for future generations ,"Yes, to protect and record the history and existence of the club for future generations and in the history of the game of Rugby League",,Male,60-69,White,6004 - Perth Western Australia,,,
9/16/2021 17:04:22,A player or member of club staff,2001 - 2010,A current or former player,12/09/2021,I signed for Sheffield Eagles,Winning the championship back to back,No,It means a lot. About a team that came together and had great men who were willing to do what ever it took to win. Had a great culture and coach,The year they won the Challenge cup,"Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Researching players - the games they played for their club, their backgrounds, their stories, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Help it grow in the city of Sheffield. It needs more acknowledgment,Yes - getting more people involved and the community.,,Male,25-39,Other,DN5,,,
9/17/2021 12:23:13,A sponsor of the club,1991 - 2000,Someone who attends games home or away on a regular basis,Dewsbury at Doncaster sept 2021,Enjoy rugby - live local,Challenge Cup win vs Wigan,No sorry,"Our team, always the underdog - striving for better.","Overcoming adversity,
Rise to super league
Super League years
Powell, Jackson, Farrell, Broadbent Aston et al
Challenge cup win
The Huddersfield saga / collapse & rebirth
",Attending events and talks about the history of the club,"Build interest in the club
Cornerstone of history & where we come from",Yes,Good luck,Male,50-59,White,S18,,,
9/17/2021 13:11:32,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,12th September 21,My dad took me as part of introducing me to differant sports,1998 Challenge Cup Final,Unfortunatley no,"Rugby League, and Sheffield Eagles are my passion. My release from the mundane working life. I was lucky enough to be coached by Mark Aston and Paul Broadbent when I played at Sheffield Hawks and my respect for those guys is through the roof, and they have helped me be the person I am today.",What actually happened with he Huddersfield merger.,"Being part of the project steering group, Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","A project like this will help drive recognition of the sport and the Eagles within Sheffield. We have suffered dramatically since the DVS was demolished and awareness of the eagles is probably at an all time low. This will help improve this, and hopefully reignite the fire in the bellys of lost supporters.",As above,,Male,40-49,White,S13,,,
9/18/2021 9:14:31,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1984 - 1990,Someone who plans to attend games from 2022,2019,Free tickets when joining lottery,Back to back championship victory,"I have some old matchday programmes, dvds etc",I love the club so much but currently can't attend through health reasons,1998 victory over Wigan and victory over adversity relaunching after merger. ,,I would love the club to become part of it's local community rather than just a ground. It would be great to see some of our old supporters back,"We need to focus on the origins of the club and how we have always struggled but somehow survived in spite of everything. The Hetheringtons; players like Mark Aston, Daryl etc and their achievements. Without history the club is nothing",,Female,50-59,White,S14,,,
9/18/2021 19:40:53,Former player ,2001 - 2010,A current or former player,2019,Playing for the club,Wembley challenge cup final ,,First result look for ,Playing grand finals ,,,,,Male,40-49,White,WF4,,,
9/19/2021 12:10:20,A sponsor of the club,1984 - 1990,Someone who has a season ticket and attends all home games,12th September 2021,Disenchantment with football,1998 Challenge Cup Final,Shirts from 1990 to date,,,,,,,Male,70 or older,White,S26  ,,,
9/20/2021 12:57:05,A player or member of club staff,1984 - 1990,Member of staff,London (a) 29/8/2021,"Enjoy watching RL, living in Manchester used to watch Wigan, Salford or St Helens when no football. When I heard about Eagles I came along",Promotion play off win v Swinton 2006,"Old shirt, programmes",Given me great experiences and opportunities within sport as a physiotherapist. Also a supporter from the early days,"Establishing a professional RL club in virgin territory. Coming back after being taken over by Huddersfield and overcoming the last few years without a proper base in Sheffield, not just surviving but being very successful and now hopefully with a new home. Shock win at Wembley v Wigan CC final, back to back Championship winners etc",,Raise the profile of the club and hopefully attract new supporters. Local history is important in establishing and maintaining a sense of identity ,"Yes, see above",,Male,50-59,White,S8 ,,,
9/20/2021 13:52:41,wheelchair rugby player,You plan to attend games from 2022,Someone who plans to attend games from 2022,n/a,n/a,n/a,n/a,It is great to have a local team that promotes inclusive sports.,"I believe all stories are important to share, as we can then develop from them and learn how to make the club bigger and stronger in all forms of the game.","Being part of the project steering group, Taking part in researching the history of the club, Attending events and talks about the history of the club, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc","It would give a better insight into the club and the history of Sheffield, also the development and growth of the game.  This would give me pride in playing for Sheffield and representing the city.  Also this could be taken into schools and the wider community and hopefully generate interest in all forms of the game, bring fans into watch games, which then encourages companies to engage in sponsorship of the teams and events. Then that in turn would ensure revenue and sustainability for the club. ","If you want to encourage players, fans, businesses into the club, for me if you can show the history and then the growth of how it evolved and show the younger generations that they have a personal connection with the club through, family or school.  Try and install pride and passion in rugby and in all forms of the game and how the club is at the forefront of this.  ",,Male,40-49,White,DE4,,,
9/23/2021 19:46:15,,1991 - 2000,Someone who doesn't attend games but follows the results,3years ago,I was a player,Scoring in the Grand Final,,The eagles deserve their place in the RFL history.,,Answering questions,None,Yes. It's important RL understands their clubs and the clubs history.,None,Female,60-69,Black / African / Caribbean /Black British,YO26,,,
9/24/2021 10:53:30,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who plans to attend games from 2022,Our last season at the Olympic Park,Back in the 90s my son won 2 tickets at school in a raffle for a home Stones Bitter game,Attending the 1998 cup final with my family,"I don't tend to keep stuff, sorry","I'm not originally from the Sheffield area, and as a West Ham fan like the fact the Eagles have given me the chance to support a team from my adopted city without compromising my loyalties!","On a positive note, beating Wigan for the very first time in our history. And on a negative one, getting shafted by the RFL to combine with Huddersfield. Then rising again like a Phoenix. I remember attending those meetings at Handsworth Liberal Club to successfully reform Sheffield Eagles.","Taking part in researching the history of the club, Attending events and talks about the history of the club, Talking with people who aren't supporters about the project, getting them involved","The dinosaurs in the RFL have never liked Sheffield Eagles. But despite them, we have become a famous name in the game. This project could help to get us back on the big stage which would make me very happy indeed.",it would significantly raise the club's profile in the local area which can only be a good thing,I would just like to wish you all the luck in the world for the success of this :),Male,60-69,White,S43,,,
9/24/2021 16:44:31,A sponsor of the club,1984 - 1990,Someone who attends games home or away on a regular basis,12th September 2021,I was picking the man of the match,Wembley 1998,Yes,I first attended a game in 1986. Gary Heatherington gave my new company OSI its very first order in 1993. First sponsored the Eagles in 1995 and have been a sponsor every season since then. I was involved in the creation of the new club in 1999. Becoming a shareholder then a director.  ,My company has employed numerous Eagles players. Two full time. Lynton Stott who like me hails from Warrington. And Jon Breakinbury. We have also employed on a casual basis Carl De Chenu. Jack Howisham. Simon Tillier and the one and only Menze Yere. ,Attending events and talks about the history of the club,History and heritage of any club is important. With the Eagles only being 37 years old there are many people able to help document all this history from the beginning. ,See above answer ,Good luck,Male,50-59,White,S36  ,,,
9/24/2021 20:53:01,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,September 2021,Friend from school took me to a game in 1992,So many! ,"Got loads of programmes from 1990s until recently, several shirts. Some press cuttings from some key matches.",,Apart from the obvious trophy wins. 2007 when we looked close to relegation mid season and then got in the play offs,"Being part of the project steering group, Taking part in researching the history of the club, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",Preserving history and stories for future generations both in Sheffield and for RL,Yes. Important story in RL history,,Male,25-39,White,S11,,,
9/26/2021 13:03:57,A current Sheffield Eagles fan who attends games,2001 - 2010,Someone who attends games home or away on a regular basis,19/09/21,My grandad took me to watch a game at Don Valley ,Winning the 1895 Cup ,I have lots of programmes from the last decade ,"As a supporter, Sheffield Eagles are very close to my heart as I’ve met some of my best mates and made some good memories by going to games. ","Becoming back to back champions, winning the 1895 cup, the away days. ","Researching players - the games they played for their club, their backgrounds, their stories, Talking with people who aren't supporters about the project, getting them involved, To have some training to develop new skills - such as research, leading activities, digitisation of memorabilia, managing projects, public speaking, etc",I think it’s a good project to bring supporters closer together and understand more about the club they support. ,"I think there is a need, especially for new supporters of the sport as it provides history and information about the club so they can learn more about it. ",,Male,16-25,White,S26,,,
9/26/2021 13:09:14,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who attends games home or away on a regular basis,12 September 21,Family ties,Both Wembley trips,I'm happy to share photos,It's like a family,"Wembley trips, merger",,It will hopefully bring in more fans,,,Female,25-39,White,HD9  ,,,
9/26/2021 13:36:31,A current Sheffield Eagles fan who attends games,2011- 2021,Someone who occasionally attends home games,5th September (home),2018,,No,,,"Attending events and talks about the history of the club, Talking with people who aren't supporters about the project, getting them involved",The hope is that it would improve support for the team and the game in Sheffield. ,,,Female,25-39,White,S12,,,
9/26/2021 13:38:47,A Sheffield Eagles fan who doesn't currently attend games but plans to in the future,1991 - 2000,Someone who plans to attend games from 2022,2015,1996,Wembley 1998,I have a home shirt from 1998 and a photo of myself 6 years old in Trafalgar Square in an eagles top on the day of Challenge Cup final in 1998 ,In the late 90s I was season ticket holder with my dad and brother and have great memories of attending games at DVS. The club will always mean a great deal to me because of that and despite only be very young having very vivid memories of many games and moments,I have very good memories of a couple of players bringing the challenge cup into me my primary school (St. Maries in Fulwood) and having the opportunity it to hold the trophy ,Attending events and talks about the history of the club,Will help me reconnect with the club ahead of hopefully attending games next year,,,Male,25-39,White,S11,,,
9/26/2021 13:41:07,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who plans to attend games from 2022,The final game at Don Valley,My father,The Challenge Cup win and the first 10-5 win against Wigan,Yes,An important part of Sheffield’s sports,"The win against World Club Champions Widnes, the story of Mark Aston and his incredible commitment to Sheffield Eagles","Carrying out interviews with players, staff or supporters to gather their stories, Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications, Researching players - the games they played for their club, their backgrounds, their stories","For Rugby Leage and the club it’s important to show how a team can start for such humble origins, become a Super League team and Challenge Cup winners and how the re-birth of the team with Mark Aston shows how rugby league is loved in Sheffield","I think it’s important to promote the club and it’s history, if you look at online at American sports they celebrate the history of their clubs and I think this causes people to investigate the background and helps develop interest in the club ",,Male,40-49,White,S60,,,
9/26/2021 13:46:07,Former chairman of the club,1984 - 1990,Someone who attends games home or away on a regular basis,19 September 2021 at Featherstone,1986,"Wembley 1998, Grand Final wins","Programmes, press cuttings etc",For 17 years an integral part of my life,Many!,"Attending events and talks about the history of the club, Taking part in researching the history of the area",To preserve history,Preserving history and memories,Fantastic initiative,Male,50-59,White,HD9  ,,,
9/26/2021 14:55:52,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,1991,Student in Sheffield. Brother playing for team (Neil Kellett),Beating Widnes at Bramall Lane,"Quite a few programmes,including a complete set of ""home"" programmes for the nomadic year. ",Succesful RL expansion. ,Establishment of non-heartland amatuer RL.,Providing material,Celebrating RL history somethinf that we are pretty poor at.,Pretty much same answer as above.,Sounds exciting as a project.,Male,50-59,White,PR2,,,
9/26/2021 16:19:13,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,5th September 2021,Partner was already supporting them.,Wembley 1998 amongst a fair few others!,Plenty of press cuttings that need sorting! Quite a few other bits and pieces also.,,"The search for a home! What we have achieved , Challenge Cup , back to back Championships, beating Perth Western Reds in the World Club Challenge, Super Eights victory over Wakefield.",Attending events and talks about the history of the club,,"Yes, for past and future generations of Eagles supporters, the wider rugby league fraternity and Sheffield in general that never seems to appreciate the Eagles and the work they do.",,Male,60-69,White,S8,,,
9/26/2021 16:25:44,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,5th September 2021,Went to the first ever game as it was a new sport to the city.,Challenge Cup victory.,Press cuttings that need sorting.,,Achievements against the odds. Schools work.,Attending events and talks about the history of the club,,Yes. The clubs story and achievements needs to be recorded for all to see.,,Female,50-59,White,S8,,,
9/26/2021 17:43:28,A Sheffield Eagles fan who no longer attends games,1984 - 1990,Someone who used to attend games,1996,Curiosity. Bored stiff after watching United draw 0-0; next day Eagles were at home to Dewsbury. They lost but I was hooked. As a kid I had always preferred League and sort of followed the results of Leeds and York but never had a proper club in my hometown. ,"Old Trafford, Daryl Powell lifting clubs first ever trophy. ","Share « virtually « , yes",Suffered with them in the early years. Club close to my heart even if I am far away now. ,"Too many to mention. Successive midweek trips away to Barrow and Whitehaven.. lots of little anecdotes, probably not very interesting ","Cataloguing, digitising and recording memorabilia",I really haven’t a clue. Maybe my memories might just be of interest to someone other than myself !,"Yes. Eagles a remarkable story given that so many other club projects have tried and failed …(Mansfield, Southend…)",Good luck !,Male,50-59,Prefer not to say,95370,,,
9/26/2021 17:52:04,A current Sheffield Eagles fan who attends games,1991 - 2000,Someone who has a season ticket and attends all home games,12/09/21,My dad starting taking me and my older sister with him to matches when we were young children,1895 grand final win,,They are a club I have followed pretty much my whole life so they mean a lot to me. Going to matches with my dad gives us quality time together doing something we both enjoy,The resurgance of a new club after the failed merger,"Attending events and talks about the history of the club, Helping write about the club for newsletters, exhibitions, leaflets and publications",It will hopefully raise the profile of the club in the city ,"Sheffield Eagles is a small club but with an interesting history. Our fanbase has reduced in the past few years and we have a lot of older fans, so I think it's important to document some of the history of the club for future generations and try to raise the club's profile in general ",,Female,25-39,White,S7,,,
9/26/2021 17:54:15,A current Sheffield Eagles fan who attends games,1984 - 1990,Someone who has a season ticket and attends all home games,5th September 2021,Had never been to a Rugby League match & Eagles were my local team. ,"Seeing them win 1895 cup at Wembley, I was unable to get transport to the Challenge Cup win. ",,"The Eagles are the team I support,  only been a season ticket holder since moved to OLP but have followed results & progress since mid 80's. Sheffield Eagles are a community & have a community spirit.",How & why the merger with Huddersfield came about & what happened next! ,Attending events and talks about the history of the club,,,,Male,50-59,White,S62,,,
